DniAbonado,NombreAbonado,EmailAbonado,TelefonoAbonado,PrecioCuota,Sucursal,NombreMaquina,DescripcionEjercicio,CantidadSeries,CantidadRepeticiones
35657485,Iker Rossello Sole,francisco-javier21@yahoo.com,+34722955247,26532.79,Sucursal Sur,Cinta de correr,Resistencia,4,16
22551573,Antonio Rincon Gelabert,aaron27@gmail.com,+34709 227 621,18879.51,Sucursal Sur,Eliptica,Cardio,4,10
29126532,Jose Ignacio Marino Casanovas,fabian46@ramos.es,+34727 20 24 69,34548.38,Sucursal Norte,Eliptica,Intervalos,5,17
39591474,Pascual Iker Llabres Lillo,nereida85@hotmail.com,+34749943076,37014.77,Sucursal Sur,Bicicleta fija,Spinning,6,16
22933243,Fito Pallarès Salazar,arseniobernad@gmail.com,+34 877 863 556,35004.81,Sucursal Centro,Press banca,Fuerza explosiva,4,16
31512608,Maria Dolores Blanca avila,leonardo12@bilbao-sans.com,+34 642 437 045,23874.51,Sucursal Centro,Dominadas,Fuerza,3,12
40431670,Cleto Carbonell Gordillo,iriarteluz@farre-roman.org,+34 742953916,24818.52,Sucursal Centro,Press banca,Pectorales,4,19
20331667,Luis Miguel Modesto Campo Redondo,macarena89@puerta-vallejo.es,+34 701 293 169,17638.05,Sucursal Oeste,Press banca,Resistencia,3,14
48366201,Enrique Palomo Velasco,heliodoromoran@gordillo-solera.com,+34 741 597 599,19867.5,Sucursal Centro,Dominadas,Espalda,5,14
48892163,Saturnino Azorin Coll,qvargas@narvaez-aguilar.org,+34 850792670,22051.62,Sucursal Oeste,Sentadillas,Gluteos,3,8
40272392,Ximena Aguilar Santana,xpinilla@vall.es,+34 701 397 256,23287.27,Sucursal Este,Remo,Resistencia,6,15
45772631,Trinidad Pinto Pozo,martinezlucas@hotmail.com,+34698 08 24 24,19249.85,Sucursal Norte,Cinta de correr,Cardio suave,3,12
49547212,Reinaldo Quirino Zorrilla Feijoo,bolive@hotmail.com,+34737871209,32976.11,Sucursal Sur,Remo,Resistencia,6,10
32841794,Angelica Cadenas Calderon,olimpia54@yahoo.com,+34747 139 247,19494.48,Sucursal Sur,Sentadillas,Piernas,4,11
23956084,Teodosio Lorenzo-Ramos,fmunoz@moya-acosta.es,+34949472938,16935.07,Sucursal Oeste,Cinta de correr,Velocidad,4,16
27960515,Ulises Cuervo Cortina,rubenblazquez@castells.es,+34 711 771 723,16979.53,Sucursal Sur,Remo,Resistencia,4,8
20404397,Josue del Fernandez,rojasagata@yahoo.com,+34943506131,34987.4,Sucursal Norte,Remo,Resistencia,5,14
44846084,angel Guardia Arcos,encarna87@gmail.com,+34 886150658,35308.32,Sucursal Oeste,Pesas libres,Triceps,6,15
40105018,Nydia Casanovas Casas,adrian50@yahoo.com,+34951 62 30 42,20876.6,Sucursal Norte,Pesas libres,Hombros,6,20
30046691,Virgilio Leon Garces,isa44@saavedra-enriquez.es,+34842 16 32 25,38016.23,Sucursal Oeste,Sentadillas,Gluteos,4,11
32124549,Custodia Julia Amor,omendoza@ferrando-esparza.com,+34 738297533,21121.05,Sucursal Norte,Dominadas,Espalda,6,13
39532428,Piedad Abella Gimeno,gmarino@gmail.com,+34 851 78 68 61,32831.46,Sucursal Este,Pesas libres,Triceps,6,11
44998005,Maura Madrid-Garcia,ismael99@orozco-revilla.com,+34 628 701 360,26329.35,Sucursal Oeste,Eliptica,Resistencia,4,9
33653283,Primitiva Eugenia Carballo Peralta,cabezabaltasar@hotmail.com,+34 733 967 215,25356.22,Sucursal Sur,Pesas libres,Biceps,4,19
31400592,Dalila Gras Vall,jennycabrera@villena-valenciano.com,+34 918 73 65 49,22703.39,Sucursal Centro,Sentadillas,Resistencia,5,19
30120231,Paco Trujillo Benitez,alcazarjavier@ordonez.com,+34 820603863,33634.14,Sucursal Sur,Pesas libres,Biceps,3,13
39557168,Jose Antonio Mendizabal Palmer,alcides86@yahoo.com,+34 726 733 326,33646.06,Sucursal Este,Dominadas,Espalda,6,20
49544742,Mohamed alamo-Pazos,iglesiascecilio@espanol-ropero.com,+34746906656,18093.26,Sucursal Este,Sentadillas,Resistencia,6,15
42858032,Purificacion Baro Marco,expositofelix@hotmail.com,+34 813000527,20470.89,Sucursal Norte,Eliptica,Cardio,6,18
48644605,Olga Galindo-Tellez,wfalco@gmail.com,+34734970391,33425.4,Sucursal Norte,Remo,Resistencia,5,14
27000318,Maria Jesus Salcedo,evitamesa@gmail.com,+34 947 11 90 48,29620.03,Sucursal Sur,Remo,Cardio,6,11
40788428,Jonatan Navarrete Gilabert,almeidalaura@tejero.es,+34686 44 47 22,30634.65,Sucursal Oeste,Dominadas,Espalda,3,20
47503932,Otilia Coral Quintanilla Vazquez,zuritaflorinda@hotmail.com,+34735 883 722,28340.96,Sucursal Norte,Sentadillas,Gluteos,6,20
46126200,Prudencia de Tamayo,doraolmedo@gmail.com,+34 747 24 34 63,32684.2,Sucursal Este,Sentadillas,Gluteos,3,19
38917918,Juan Francisco Carranza-Ballester,orianapujol@chico.es,+34 732 671 223,31263.6,Sucursal Sur,Press banca,Resistencia,5,17
43239855,Angelino Blasco Malo,wexposito@chamorro.es,+34 653089930,29163.24,Sucursal Sur,Remo,Cardio,4,8
47883528,Toribio Quero Cifuentes,varavictoriano@catala-bustos.net,+34 709923990,20972.06,Sucursal Oeste,Press banca,Resistencia,5,15
38121965,Clarisa Hoyos-Cases,rferreras@hotmail.com,+34 746 14 50 61,29071.87,Sucursal Centro,Remo,Resistencia,4,18
33325268,Liliana Gimeno Company,mercedes74@gmail.com,+34964858858,36907.81,Sucursal Este,Pesas libres,Hombros,4,14
27949287,Omar Duran Hernandez,jose-manuelmacias@mendizabal.org,+34 720473496,30865.9,Sucursal Sur,Cinta de correr,Cardio suave,3,11
29854070,Alberto Sevillano Santamaria,pineiroconcha@gmail.com,+34 737394250,15150.52,Sucursal Norte,Sentadillas,Gluteos,5,19
28153896,Mohamed Barragan Agudo,cristian46@salas.com,+34608456736,34912.35,Sucursal Centro,Press banca,Pectorales,3,18
34240797,Aurelia Moya,elvira41@alvarado.com,+34 724 43 79 24,16881.86,Sucursal Centro,Cinta de correr,Cardio suave,4,19
42292319,Pablo de Polo,consuela48@valencia.es,+34 736735133,37989.12,Sucursal Oeste,Remo,Fuerza,3,8
32923779,Juan Francisco Folch Segovia,natanael74@hotmail.com,+34915 075 828,32358.93,Sucursal Oeste,Pesas libres,Biceps,6,19
22136038,Nydia Adadia Planas,hjuarez@hotmail.com,+34 732157309,39099.45,Sucursal Oeste,Remo,Cardio,5,20
22083997,Julian Vega Valverde,maximo44@arco-alfaro.com,+34 717 80 92 34,39011.36,Sucursal Este,Sentadillas,Resistencia,5,9
43940625,Candelaria Burgos Rossello,prietovictor@hotmail.com,+34 734 32 51 61,27429.65,Sucursal Centro,Press banca,Resistencia,6,8
31267487,Arcelia Busquets Blanch,eulalia25@mari.com,+34700 838 323,30183.86,Sucursal Norte,Remo,Resistencia,3,17
39038762,Calixta Montenegro,remigio86@gmail.com,+34 710768365,33459.84,Sucursal Centro,Remo,Resistencia,4,11
49141494,Nicolas Olive Riera,macariocuenca@hotmail.com,+34 734 796 877,17288.16,Sucursal Centro,Remo,Cardio,6,15
48971408,Luciana Rios Real,mquerol@belda-busquets.com,+34730639250,19827.89,Sucursal Sur,Dominadas,Espalda,6,9
20201258,Mercedes Gomez,perallupe@velasco.es,+34 655 65 68 66,39296.25,Sucursal Oeste,Bicicleta fija,Spinning,4,13
43672404,Olalla Eva Maria Anton Villanueva,fidel07@bou-blanes.net,+34866 49 06 55,24805.08,Sucursal Sur,Pesas libres,Triceps,5,12
23080680,Dorotea Epmiliana Neira Amaya,taboadabernardino@priego.es,+34 911 655 355,38416.27,Sucursal Norte,Dominadas,Biceps,3,12
30360458,Ulises Roman-Quintero,dhervas@hotmail.com,+34708769810,19315.76,Sucursal Centro,Cinta de correr,Cardio suave,6,9
22565089,Paco Goni Torres,piolillo@penas-salom.es,+34 880472006,29355.07,Sucursal Este,Pesas libres,Triceps,3,14
29757188,Crescencia Arana Checa,leocadiabarroso@gmail.com,+34720618885,23776.87,Sucursal Oeste,Bicicleta fija,Spinning,6,11
30082531,Leonel Canovas Barbero,anguitaagueda@arellano.org,+34 702 64 40 32,20130.37,Sucursal Este,Bicicleta fija,Calentamiento,3,8
36701842,Reyes Jose Miguel Blanes Vall,martinfabiola@morata.es,+34 710 769 834,35597.74,Sucursal Oeste,Press banca,Resistencia,5,18
33339528,Balduino Mas Vaquero,dalmaujose-francisco@melendez.com,+34942498633,15318.73,Sucursal Centro,Dominadas,Fuerza,6,13
38838921,Esmeralda Mata Calleja,jacintamanjon@hotmail.com,+34 880 73 12 79,30628.96,Sucursal Este,Press banca,Resistencia,4,17
42851048,Noelia Hernando Gomila,chaparropaola@yahoo.com,+34601686734,39840.58,Sucursal Centro,Remo,Cardio,3,9
40011745,Juana Benito Iglesia,beatrizarroyo@zurita-berrocal.com,+34880 54 83 43,19188.35,Sucursal Este,Remo,Cardio,3,18
31692498,Ceferino Sanz Ortiz,almagromirta@guerrero.com,+34 726 08 67 47,15454.37,Sucursal Este,Bicicleta fija,Spinning,4,19
41443267,Pedro Barranco-Saavedra,anunciacion26@coloma.net,+34749263622,19975.27,Sucursal Este,Press banca,Pectorales,5,16
21060666,Lola del Rosell,planasflorencio@barroso.com,+34736 15 99 83,31173.58,Sucursal Norte,Press banca,Fuerza explosiva,5,12
36766985,Iris Arnal,gcabo@carro.es,+34710 693 557,21046.61,Sucursal Norte,Remo,Fuerza,5,12
49826554,Apolinar de Villegas,adelaida63@yahoo.com,+34954 550 271,39745.61,Sucursal Este,Cinta de correr,Resistencia,4,19
47990298,Mateo Lastra Gomila,ypablo@pellicer.com,+34 645 292 985,19614.65,Sucursal Centro,Eliptica,Intervalos,5,8
49832451,Silvia Corominas,hrodriguez@hotmail.com,+34909 738 543,33525.48,Sucursal Norte,Dominadas,Biceps,4,8
40594317,Andres de Bonet,tamara28@hernandez.com,+34741 88 32 71,20982.21,Sucursal Centro,Press banca,Fuerza explosiva,5,10
46774459,Angelica del Galan,palacioreyes@tamarit-gomis.es,+34 885072682,17050.94,Sucursal Este,Bicicleta fija,Resistencia,5,20
41692780,ursula Sedano Ferrera,fazorin@marin.es,+34876020877,20147.23,Sucursal Este,Press banca,Pectorales,5,13
47128022,Roman Parejo Huerta,macariasaenz@sans.com,+34 650590247,15928.57,Sucursal Centro,Remo,Fuerza,3,15
45633737,Aroa Feijoo,fcatala@martinez.net,+34917 56 53 24,15547.72,Sucursal Este,Sentadillas,Piernas,6,18
29109589,Remedios Pagès Santamaria,judith07@exposito.es,+34 743 257 969,17748.22,Sucursal Este,Sentadillas,Piernas,6,15
26698590,Alma Saldana Marino,caridad77@yahoo.com,+34735586753,38317.34,Sucursal Sur,Dominadas,Espalda,6,20
42003498,Horacio Arnaiz Naranjo,wcases@yahoo.com,+34 681 277 854,28614.85,Sucursal Centro,Pesas libres,Biceps,6,16
34942562,Petrona Ferrero,ariadnabaquero@yahoo.com,+34 976705387,30600.21,Sucursal Este,Remo,Cardio,5,19
35967722,Reyes Flores Fabregat,concepcion23@yahoo.com,+34989 78 03 26,36296.26,Sucursal Sur,Press banca,Pectorales,4,9
45822891,Alondra Carreras Sans,maricruzalcolea@hotmail.com,+34736 95 71 30,19904.97,Sucursal Sur,Press banca,Pectorales,5,13
48819913,Rosenda Montserrat Cortes Bautista,vgracia@carvajal.es,+34 907658010,22146.99,Sucursal Sur,Cinta de correr,Velocidad,5,18
23519000,Octavia Alcazar Sabater,mugicablas@gmail.com,+34 812 925 310,34540.16,Sucursal Centro,Pesas libres,Triceps,6,8
22944815,Dulce de Colom,lorenzonuria@gmail.com,+34722 571 344,39294.03,Sucursal Centro,Cinta de correr,Velocidad,6,19
27556755,Maristela Nadal Saldana,monica04@herranz.com,+34735341706,16052.82,Sucursal Centro,Remo,Cardio,6,18
37218824,Narcisa Tejero,luisinatamayo@hotmail.com,+34 720 893 234,25411.59,Sucursal Este,Bicicleta fija,Resistencia,4,8
30698634,Mauricio Vina Lloret,guillermo71@carrillo.org,+34 724 89 57 85,15009.98,Sucursal Norte,Remo,Fuerza,6,8
36526396,Nicolasa Benet Guillen,qros@alberdi.com,+34715140843,17176.35,Sucursal Sur,Cinta de correr,Cardio suave,3,13
33259780,Dionisia Perlita Rius Anaya,pablo28@perea-benavides.net,+34841 196 779,36309.33,Sucursal Oeste,Eliptica,Cardio,5,10
31252535,Florencia Contreras Munoz,ballesterfrancisco@alfaro.com,+34733 68 34 05,19381.96,Sucursal Este,Pesas libres,Hombros,4,12
27881330,Chema Tellez Paredes,alejandraalegria@gmail.com,+34 724 507 784,20810.67,Sucursal Oeste,Sentadillas,Gluteos,5,9
25276783,Juan Valero-Tejada,ibarracristobal@yahoo.com,+34 717831924,25540.73,Sucursal Este,Remo,Cardio,6,13
25826812,Montserrat de Llamas,tvalles@gmail.com,+34 717 123 800,37167.51,Sucursal Este,Dominadas,Biceps,5,14
20002625,Esperanza Cardenas Ramon,ruperta44@yahoo.com,+34714 733 122,35506.52,Sucursal Oeste,Eliptica,Cardio,6,14
34333072,Celestina Crescencia Tormo Aguado,cperez@hotmail.com,+34 870845578,26814.67,Sucursal Centro,Sentadillas,Resistencia,3,17
34435888,Chucho Nino-Diego,cruzamor@yahoo.com,+34744 658 393,18183.0,Sucursal Este,Sentadillas,Gluteos,6,15
38762694,Carmelo Lobato Sobrino,arjonaalonso@yahoo.com,+34 723790632,37962.41,Sucursal Centro,Sentadillas,Gluteos,6,14
28163398,Martin Edmundo Jaume Valls,mireia40@yahoo.com,+34840552394,18704.08,Sucursal Centro,Dominadas,Espalda,5,15
24026069,Cebrian Ribera Vidal,ruben04@segovia.net,+34747 690 270,28912.0,Sucursal Norte,Bicicleta fija,Calentamiento,3,14
36854818,Edu Cabrera,hasensio@yahoo.com,+34 871 85 40 73,30618.54,Sucursal Centro,Press banca,Resistencia,4,17
25052037,Alcides Valenciano Sanjuan,arsenio28@gmail.com,+34835453416,37014.31,Sucursal Centro,Press banca,Fuerza explosiva,5,8
42699997,Domitila Garcia Serrano,filomenalloret@hotmail.com,+34 921 081 707,25447.35,Sucursal Este,Remo,Fuerza,4,8
31670706,Dario Bilbao Valles,abel79@hotmail.com,+34 744 24 60 78,28273.05,Sucursal Sur,Dominadas,Fuerza,4,12
29609364,Ale Catala Echevarria,dortiz@gmail.com,+34 726 475 367,38374.38,Sucursal Este,Eliptica,Cardio,3,13
32473207,Victor Catalan Arteaga,maria-fernandaacero@gmail.com,+34 732 746 298,30163.42,Sucursal Oeste,Cinta de correr,Cardio suave,6,10
47723377,Jordan Segui Leon,doravergara@vall.es,+34718 225 226,17666.92,Sucursal Este,Cinta de correr,Resistencia,3,11
29210930,Ema Vall Posada,piaasensio@lara-madrid.es,+34 724604145,15352.74,Sucursal Oeste,Remo,Cardio,6,16
20062743,Nicodemo Franch-Gil,alonsonebot@yahoo.com,+34 736 24 82 91,18470.6,Sucursal Norte,Remo,Resistencia,4,19
44418514,Evangelina Rosaura Bayon Oller,martirioaraujo@gmail.com,+34885 91 45 25,39058.25,Sucursal Sur,Bicicleta fija,Calentamiento,5,16
24734470,Miriam Santos,mateudaniela@yahoo.com,+34738 86 60 40,15686.3,Sucursal Centro,Dominadas,Fuerza,4,20
28569271,Gracia Rosado Heras,torrentsjuan-jose@borras-soriano.com,+34660 492 380,22225.01,Sucursal Sur,Dominadas,Biceps,6,14
25345694,Macaria de Baena,guardiolaainara@yahoo.com,+34748 45 85 86,35684.22,Sucursal Centro,Bicicleta fija,Calentamiento,5,10
45407587,Cecilio Pozuelo Clavero,jarevalo@bayon.es,+34715772620,26317.34,Sucursal Este,Cinta de correr,Cardio suave,6,8
22623580,Alicia Fiol Riera,alondra70@yahoo.com,+34603 246 628,16708.81,Sucursal Sur,Pesas libres,Triceps,5,9
21535078,Inocencio Ramirez Tolosa,asensiodiana@benet.es,+34739 263 836,38284.27,Sucursal Sur,Eliptica,Cardio,5,15
30643552,Antonia Velez Plana,alfredo33@echevarria-castro.es,+34726 55 66 14,38903.56,Sucursal Este,Pesas libres,Hombros,3,13
34726791,Lidia Sancho Guillen,rcoloma@benitez-priego.net,+34716 55 89 24,27860.24,Sucursal Oeste,Sentadillas,Resistencia,6,14
26446256,Xiomara Miro Marquez,mamenzurita@barriga.es,+34 807 91 06 98,17392.67,Sucursal Sur,Sentadillas,Piernas,3,19
33744516,Cesar Maria Llanos Ayala,kacosta@collado-ocana.com,+34948 73 97 24,26926.08,Sucursal Centro,Pesas libres,Triceps,3,12
24940332,Victor Ignacio Hierro Menendez,obeltran@santana.com,+34698 71 84 74,21087.49,Sucursal Sur,Bicicleta fija,Calentamiento,3,20
37925574,Valeria Pastor-Canovas,jcabezas@hotmail.com,+34 722400762,29364.0,Sucursal Sur,Bicicleta fija,Resistencia,4,13
24013159,Carlito Franco,celia91@hotmail.com,+34 706 672 756,23973.81,Sucursal Este,Pesas libres,Biceps,3,9
25513701,Nilda Pinto Vicente,adolfo09@pinto.com,+34 604 90 32 73,29000.05,Sucursal Centro,Sentadillas,Piernas,4,19
45927278,Adelardo de Soler,gustavorodenas@gmail.com,+34738 25 93 80,30627.15,Sucursal Este,Press banca,Resistencia,4,10
27383549,Maximo de Izquierdo,osotelo@soto.com,+34748 381 620,27062.15,Sucursal Centro,Dominadas,Fuerza,3,14
20851674,Antonia Ramon Palomar,gracialeon@hotmail.com,+34 719083955,35229.13,Sucursal Oeste,Dominadas,Fuerza,3,14
31385029,Maria Fernanda Mayol Roldan,venriquez@hotmail.com,+34 743 157 738,21486.81,Sucursal Norte,Sentadillas,Gluteos,3,10
24688941,Florencio Bartolome,wanguita@yahoo.com,+34721 667 655,18833.89,Sucursal Sur,Remo,Resistencia,6,18
28765843,Catalina de Canet,roberta03@sanjuan.es,+34718 09 82 14,28318.93,Sucursal Este,Bicicleta fija,Resistencia,5,20
48480389,Panfilo Amancio Izaguirre Ropero,glaucomarcos@blazquez-blazquez.es,+34 711290957,26668.89,Sucursal Oeste,Dominadas,Biceps,3,15
25035917,Mirta Bauzà Fuertes,almeidamaximiliano@hotmail.com,+34 914984087,25481.88,Sucursal Sur,Press banca,Fuerza explosiva,6,20
20525256,Merche Galan,cesar51@rojas.net,+34 891 19 57 54,31977.22,Sucursal Oeste,Pesas libres,Triceps,5,16
35382302,Valentina Feliciana Palmer Solera,acunapastor@cuenca.com,+34709 75 89 38,23706.32,Sucursal Oeste,Press banca,Resistencia,4,20
26830724,Gracia Andres Pons,dcodina@pena-gutierrez.com,+34892447945,27753.36,Sucursal Oeste,Remo,Cardio,3,16
21421034,Quirino Olivares,xfalco@hotmail.com,+34 739 006 133,24656.23,Sucursal Centro,Bicicleta fija,Resistencia,6,12
46546226,Teobaldo de Somoza,bpi@yahoo.com,+34 854 695 480,21823.48,Sucursal Sur,Bicicleta fija,Spinning,6,16
27689656,Purificacion Villalba-Rico,moises27@hotmail.com,+34938 87 39 46,39930.01,Sucursal Sur,Bicicleta fija,Resistencia,6,13
32285569,Roberto Ibarra Arranz,albino63@yahoo.com,+34 718245817,31069.57,Sucursal Sur,Eliptica,Intervalos,5,19
37492099,Onofre Iglesia,bastoribio@pineiro.com,+34706191091,23780.13,Sucursal Oeste,Bicicleta fija,Calentamiento,4,19
41920414,Marcio Egea Galvez,rosenda86@casals.com,+34 746275470,27672.6,Sucursal Este,Remo,Fuerza,6,11
36653686,Tomasa de Adan,nilda09@serrano.net,+34 729 31 44 57,23266.68,Sucursal Este,Eliptica,Cardio,6,17
45526747,Manu Madrid,jeremiascoll@gmail.com,+34 729 30 07 30,33235.64,Sucursal Centro,Bicicleta fija,Resistencia,5,13
41728681,Mauricio Rodriguez Mariscal,carbonellpalmira@abril.es,+34 745 942 061,26108.67,Sucursal Este,Pesas libres,Triceps,6,20
29491841,Amada Castilla Roma,eric24@yahoo.com,+34847 620 705,17941.25,Sucursal Norte,Pesas libres,Hombros,6,17
36707814,Macarena Cayetana Exposito Galan,molinersol@yahoo.com,+34977 069 434,31932.55,Sucursal Norte,Sentadillas,Gluteos,6,8
28827521,Aristides Valls Garzon,mirta91@agustin-martin.com,+34676338502,20204.35,Sucursal Sur,Eliptica,Cardio,6,10
33983095,Victorino Fabregas,hidalgoteresita@sierra.es,+34731617067,21361.38,Sucursal Sur,Eliptica,Resistencia,4,18
29943510,Ainoa Carmela Llabres Villalobos,lucioacedo@hotmail.com,+34 884 728 163,38136.2,Sucursal Oeste,Cinta de correr,Cardio suave,3,18
29123199,Leoncio Cabanas Pineiro,tellezfrancisca@yahoo.com,+34727 351 844,39543.09,Sucursal Oeste,Press banca,Pectorales,4,8
26917261,Gabriela Reina Osuna Cordero,lujandavid@yuste-jorda.es,+34 715133260,37209.27,Sucursal Este,Bicicleta fija,Spinning,3,9
27336601,Luis Mateu Escolano,ralcaraz@frias.com,+34 867715899,24479.2,Sucursal Este,Dominadas,Fuerza,3,11
32540461,Tamara Zamora Beltran,santanacelso@farre.net,+34998 85 57 00,30046.74,Sucursal Norte,Press banca,Fuerza explosiva,4,14
